epoch;acc;loss;mean_absolute_error;val_acc;val_loss;val_mean_absolute_error
0;0.9583524004298838;0.018139137514403568;0.05951444529483666;0.9581753914816338;0.01754665966227389;0.06055456367239617
0;0.9583008732627983;0.01809136543291897;0.05948724791445025;0.9588577538205866;0.017605253291038566;0.06818500723232303
1;0.9584924899153973;0.016973011387540166;0.061346443313824474;0.9575813695004112;0.015574864659196976;0.05059120163582919
2;0.9606791740685852;0.01404788365222551;0.05850257337954476;0.9660390218098959;0.01212039460803856;0.051260922757679954
3;0.9649912005093828;0.012294871451791806;0.05201036591625693;0.9649270040947094;0.011379408846168141;0.04621903905481623
4;0.9675229326564463;0.011416101839917538;0.04958896662796562;0.966421830026727;0.010909600624520528;0.04152063577713674
5;0.9679051691563285;0.01118746117908676;0.047235289026969045;0.9689392625239858;0.011261898599434318;0.04655110708584911
6;0.9697417446117306;0.010625539516009877;0.04512339953950901;0.9710404245476973;0.01005787413011779;0.04368977810730014
7;0.9699904858766488;0.010445372861384148;0.04474671868298521;0.9720930132949561;0.010024287309007425;0.04104292686832579
8;0.9714714318663631;0.009881039354809789;0.04300081453768153;0.971380401075932;0.010008029537602213;0.040547483813082964
9;0.9713820260972833;0.00990869253452624;0.04311853391703349;0.9710848624246162;0.009860681267782;0.038716556144910944
10;0.9720914447726916;0.009652817534076883;0.04214687458234816;0.969110321580318;0.010737955954187271;0.041895037778375444
11;0.9724486077850188;0.009420390619929112;0.04172960880338846;0.9710880748012609;0.010075412886707406;0.0421542936707275
0;0.9584733205824042;0.01802428570533892;0.06497362499410783;0.9589099549410636;0.017556495801137204;0.08057598501705286
1;0.958304783806729;0.01579690871095687;0.07434828341681154;0.9582886277583608;0.012822787653197321;0.0748458707933886
2;0.9568848729732647;0.01267294525098636;0.0801316162561951;0.9596852085046601;0.011457614461776981;0.06622332220145485
3;0.9555244637494111;0.011838392773409135;0.08081883186446362;0.9542348761307565;0.011115598467815863;0.07936468374049455
4;0.9553224956569959;0.010994081610074294;0.08161754242551686;0.9562137001439145;0.010479185076659186;0.07996367264473647
5;0.9555567449061715;0.010703193615822486;0.07998040179024689;0.9573824698464912;0.010515999473762094;0.07006680788962465
6;0.9548799140968515;0.01048231224094204;0.08138321164115589;0.9526227984512061;0.010246128423891047;0.08362191039742085
0;0.9589671226003063;0.01794957807615175;0.06302912899260245;0.9580862480297423;0.017835081367050868;0.0738573392624395
1;0.9576130009176743;0.01628433874850372;0.07430889398496054;0.9573433859306469;0.01642653415502425;0.05759215351651635
2;0.9570799401058024;0.013047535012209385;0.07994603654884513;0.959558319627193;0.012161375726001305;0.06274708974779698
3;0.9562707642214981;0.011998334677244102;0.08035471368038175;0.9548347874691612;0.011157299318399868;0.07789285938467896
0;0.958185627232844;0.01819436865666853;0.05946691062806839;0.9584904720908717;0.01751983263774922;0.05563245275825785
1;0.9589985603064148;0.015774641831840703;0.062128302552292694;0.9589225367495888;0.013657840140359966;0.06305139165437013
0;0.9585493078183889;0.018074113718847085;0.05873912439012348;0.9589112934313322;0.01726511494142183;0.054842099089894375
1;0.9585316720320352;0.01582565972225825;0.061347275195484184;0.9575827079906798;0.013773684177482337;0.05332864033417743
2;0.9629410020071059;0.013421018767034887;0.0545432147050473;0.9671015153851426;0.011392916618078425;0.047476114966628846
3;0.9655583827339824;0.012140662629325786;0.05066463698506655;0.9692436352110746;0.010994283082127049;0.04583556835719368
4;0.9679818464883009;0.01117432076512045;0.04815983555125232;0.9694280791700932;0.01137238080825722;0.04815219692363028
5;0.9697775529257616;0.010656073762000956;0.04569717316921033;0.9697768897341009;0.0106583159384236;0.04310300243658978
6;0.9696556359679256;0.010512363212417119;0.04506894973242403;0.9705392937911185;0.010054960593646555;0.03879291051181785
7;0.9713735915907663;0.009957053609679092;0.042790918849670706;0.9706503884834156;0.010130359987287145;0.04023584167946849
8;0.9718035213911353;0.009775608244478403;0.042895589407589564;0.9713215075041118;0.009786382922085753;0.038816803249350766
9;0.9717861156367776;0.009679283964302596;0.04256739219341745;0.9700146056058114;0.01002130566753055;0.039528556592893185
10;0.9731900775851916;0.009231675886572456;0.041138405298542735;0.9710655881647479;0.010324513286417513;0.041020841419435385
11;0.9738041863369582;0.008924081812767153;0.040648966466062635;0.9724394145764803;0.009512122422293351;0.039687684328671084
12;0.9739586911608825;0.008846014132021211;0.04021702264084588;0.9738686544853344;0.0096212868627749;0.038756894111110454
13;0.9750020396170305;0.008538413991749138;0.03969862237198269;0.9727494089226973;0.0096748972213582;0.04075475024026737
14;0.9758840589667085;0.008242330790015321;0.038488576226123616;0.9741609807600055;0.009002711174584795;0.03710746493909443
15;0.9758138225306219;0.008260136595388977;0.038842882530473584;0.9704643383360746;0.009825084860877771;0.038952433291757314
16;0.9765523019148477;0.007999446251237738;0.038468881318317584;0.9748468231736568;0.009228095845237635;0.0378865762041849
17;0.9773498228446922;0.0077612043566646135;0.03743098283083594;0.9736818012438322;0.009891047738819268;0.03989172468713501
